Date,Spot
2019-09-07,173.221354166667
2019-09-08,180.882326388889
2019-09-09,180.28979166666699
2019-09-10,180.887986111111
2019-09-11,178.163020833333
2019-09-12,178.828888888889
2019-09-13,179.642569444444
2019-09-14,183.59166666666698
2019-09-15,188.575798611111
2019-09-16,193.353194444444
2019-09-17,202.59239583333303
2019-09-18,212.65048611111087
2019-09-19,211.358784722222
2019-09-20,217.33840277777801
2019-09-21,216.790868055556
2019-09-22,210.21347222222198
2019-09-23,207.581284722222
2019-09-24,190.54513986014
2019-09-25,168.649131944444
2019-09-26,166.733194444444
2019-09-27,166.9746875
2019-09-28,173.68090277777802
2019-09-29,169.875347222222
2019-09-30,172.820104166667
2019-10-01,179.530590277778
2019-10-02,176.695
2019-10-03,176.274027777778
2019-10-04,175.027881944444
2019-10-05,175.189340277778
2019-10-06,173.268055555556
2019-10-07,175.55010416666698
2019-10-08,180.720590277778
2019-10-09,185.974618055556
2019-10-10,191.915972222222
2019-10-11,185.698298611111
2019-10-12,182.650277777778
2019-10-13,182.31239583333303
2019-10-14,183.825277777778
2019-10-15,182.912604166667
2019-10-16,176.701678321678
2019-10-17,175.82822916666697
2019-10-18,173.564618055556
2019-10-19,172.824548611111
2019-10-20,172.53402777777802
2019-10-21,174.518229166667
2019-10-22,173.410694444444
2019-10-23,164.10760416666702
2019-10-24,161.424375
2019-10-25,169.30309027777798
2019-10-26,182.618055555556
2019-10-27,182.4240625
2019-10-28,183.84079861111096
2019-10-29,186.78472222222197
2019-10-30,185.083611111111
2019-10-31,182.534131944444
2019-11-01,181.684131944444
2019-11-02,183.342986111111
2019-11-03,182.190798611111
2019-11-04,184.0178125
2019-11-05,187.48909722222197
2019-11-06,190.578286713287
2019-11-07,187.53527777777802
2019-11-08,184.601041666667
2019-11-09,184.462569444444
2019-11-10,187.31902777777802
2019-11-11,186.682291666667
2019-11-12,185.427673611111
2019-11-13,186.582048611111
2019-11-14,185.08395833333302
2019-11-15,181.55354166666697
2019-11-16,181.42875
2019-11-17,183.438541666667
2019-11-18,181.31274305555598
2019-11-19,175.512951388889
2019-11-20,175.40125
2019-11-21,167.573715277778
2019-11-22,153.443055555556
2019-11-23,150.666076388889
2019-11-24,147.885590277778
2019-11-25,142.451111111111
2019-11-26,146.548125
2019-11-27,148.756597222222
2019-11-28,152.519861111111
2019-11-29,153.823020833333
2019-11-30,153.000902777778
2019-12-01,149.11673611111098
2019-12-02,148.898923611111
